Instrument,Date,Revenue,Gross Profit,EBIT,EBITDA,Total Assets,Total Liabilities,Enterprise Value (Daily Time Series),Free Cash Flow,P/E (Daily Time Series Ratio),Dividend yield,"Net Profit Margin, (%)",Current Ratio,Quick Ratio,Debt - Total,"Weighted Average Cost of Capital, (%)",Common Shares - Outstanding - Total
MCO,2019-12-31T00:00:00Z,3642031800.0,2595956400.0,1577032200.0,1727872200.0,7741863000.0,7115122800.0,35055650280.0,891464400.0,28.491678813,0.7788465282916,29.44709,1.92416,1.92416,4209190200.0,8.96245540938866,187687129.0
MCO,2018-12-31T00:00:00Z,3482543676.0,2506221136.0,1509125776.0,1659552348.0,7467397656.0,6952780436.0,36969155373.6,803241836.0,34.615894938,0.906248583986587,28.14955,1.61396,1.61396,4449302880.0,8.2595976038825,191303577.0
MCO,2018-12-31T00:00:00Z,3482543676.0,2506221136.0,1509125776.0,1659552348.0,7467397656.0,6952780436.0,34968985836.48,803241836.0,33.385653769,0.933096948772978,28.14955,1.61396,1.61396,4449302880.0,8.73757691120431,191303577.0
MCO,2018-12-31T00:00:00Z,3482543676.0,2506221136.0,1509125776.0,1659552348.0,7467397656.0,6952780436.0,32671233187.84,803241836.0,30.28813349,1.01719051978436,28.14955,1.61396,1.61396,4449302880.0,8.84321160209109,191303577.0
MCO,2018-12-31T00:00:00Z,3482543676.0,2506221136.0,1509125776.0,1659552348.0,7467397656.0,6952780436.0,29350508410.0458,803241836.0,28.156772381,1.11034004163775,28.14955,1.61396,1.61396,4449302880.0,8.86093675562875,191303577.0
MCO,2017-12-31T00:00:00Z,3111370328.0,2210989000.0,1364189464.0,1481344128.0,6360395536.0,6445430728.0,24180082976.32,762726448.0,21.516643748,1.20978828704977,29.64249,1.25071,1.25071,4100561256.0,9.35760336214638,190970115.0
MCO,2017-12-31T00:00:00Z,3111370328.0,2210989000.0,1364189464.0,1481344128.0,6360395536.0,6445430728.0,27794977544.4,762726448.0,24.298935032,1.02851799906498,29.64249,1.25071,1.25071,4100561256.0,7.9421161429908,190970115.0
MCO,2017-12-31T00:00:00Z,3111370328.0,2210989000.0,1364189464.0,1481344128.0,6360395536.0,6445430728.0,28076290643.88,762726448.0,26.013046177,,29.64249,1.25071,1.25071,4100561256.0,8.60995982617222,190970115.0
MORN.O,2022-12-31T00:00:00Z,1546331490.0,902123145.0,225758115.0,361742040.0,2872443420.0,1874594205.0,7154461189.36298,39348540.0,504.67169442228,0.841231563008244,3.76884,0.91875,0.91875,917250840.0,7.86316815022226,42480051.0
MORN.O,2022-12-31T00:00:00Z,1546331490.0,902123145.0,225758115.0,361742040.0,2872443420.0,1874594205.0,7568379076.98472,39348540.0,124.405637254902,0.617588932806324,3.76884,0.91875,0.91875,917250840.0,8.46084658590491,42480051.0
MORN.O,2021-12-31T00:00:00Z,1256037595.0,739815235.0,250793595.0,360926945.0,2115964705.0,1069402220.0,8220141351.37622,133712235.0,76.064548982,0.62020845895426,11.37527,1.13287,1.13287,265650510.0,8.5711631505919,43136273.0
MORN.O,2021-12-31T00:00:00Z,1256037595.0,739815235.0,250793595.0,360926945.0,2115964705.0,1069402220.0,8763229478.43731,133712235.0,50.694325063,0.563931858233797,11.37527,1.13287,1.13287,265650510.0,9.42479583318899,43136273.0
MORN.O,2021-12-31T00:00:00Z,1256037595.0,739815235.0,250793595.0,360926945.0,2115964705.0,1069402220.0,8454292352.74677,133712235.0,56.949013642,0.568653003198673,11.37527,1.13287,1.13287,265650510.0,9.52379947680177,43136273.0
MORN.O,2021-12-31T00:00:00Z,1256037595.0,739815235.0,250793595.0,360926945.0,2115964705.0,1069402220.0,8762173315.93586,133712235.0,61.391207418,0.501026408266936,11.37527,1.13287,1.13287,265650510.0,8.76394283966073,43136273.0
MORN.O,2020-12-31T00:00:00Z,1016238615.0,637169544.0,293352507.0,394939800.0,1971773520.0,1041909702.0,10810237018.2884,171213717.0,69.796583949,0.397790055248619,16.09212,1.1652,1.1652,328458267.0,1.52846490298814,42898158.0
MORN.O,2020-12-31T00:00:00Z,1016238615.0,637169544.0,293352507.0,394939800.0,1971773520.0,1041909702.0,8225081376.99658,171213717.0,46.801344976,0.498753117206983,16.09212,1.1652,1.1652,328458267.0,8.17144224864453,42898158.0
MORN.O,2020-12-31T00:00:00Z,1016238615.0,637169544.0,293352507.0,394939800.0,1971773520.0,1041909702.0,7964345942.35969,171213717.0,43.647580293,0.47545375646202,16.09212,1.1652,1.1652,328458267.0,7.8211364186237,42898158.0
MORN.O,2020-12-31T00:00:00Z,1016238615.0,637169544.0,293352507.0,394939800.0,1971773520.0,1041909702.0,7002998747.34201,171213717.0,43.488931619,0.548088216103354,16.09212,1.1652,1.1652,328458267.0,7.20993768656243,42898158.0
MORN.O,2019-12-31T00:00:00Z,889201800.0,524847780.0,229729320.0,318498660.0,1788132780.0,970881660.0,7332660143.662,107699760.0,56.951798666,0.630318310746927,12.89228,1.21662,1.21662,386980020.0,6.80032406681325,42848359.0
MORN.O,2019-12-31T00:00:00Z,889201800.0,524847780.0,229729320.0,318498660.0,1788132780.0,970881660.0,5418116666.43799,107699760.0,46.705925118,0.714115686741252,12.89228,1.21662,1.21662,386980020.0,7.15182667604281,42848359.0
MORN.O,2019-12-31T00:00:00Z,889201800.0,524847780.0,229729320.0,318498660.0,1788132780.0,970881660.0,5011833474.9495,107699760.0,42.720641491,0.769428058476532,12.89228,1.21662,1.21662,386980020.0,7.44124949240391,42848359.0
MORN.O,2019-12-31T00:00:00Z,889201800.0,524847780.0,229729320.0,318498660.0,1788132780.0,970881660.0,4138547500.388,107699760.0,33.026131127,0.764867104340621,12.89228,1.21662,1.21662,386980020.0,7.26733498551377,42848359.0
MORN.O,2018-12-31T00:00:00Z,799479212.0,477226144.0,169161304.0,244962500.0,1139604744.0,406912108.0,5030937087.92573,125969516.0,39.654688929,0.69204152249135,17.70762,1.65821,1.65821,56752912.0,6.01330249738278,42624118.0
