Instrument,Forward Enterprise Value To EBITDA (Daily Time Series Ratio),Enterprise Value To EBITDA (Daily Time Series Ratio),EV / Free Cash Flow (SmartEstimate ®),P/E (Daily Time Series Ratio),Forward P/E (Daily Time Series Ratio)
SPGI.K,15.527799822,17.32217686,25.1407739409566,28.097982709,21.197570233
SPGI.K,16.407460991,18.512085996,25.0560546206175,30.189154174,22.639044693
MSCI.K,26.3029218741697,30.2444418320087,36.7915336488601,43.0226311379375,34.0746139149701
MSCI.K,31.6285624919432,36.3464749278581,43.2924274566922,52.2210434878346,41.9190517702109
MSCI.K,28.154841025,31.376621421,37.4362770566707,44.882903258,36.911198023
MSCI.K,26.466622876,29.690410161,41.2410278673266,43.398185217,34.07178508
MSCI.K,26.745586673,29.989141082,35.9503746012793,45.218412117,34.040333266
MSCI.K,31.680486235,36.673466621,42.9622592535094,57.828886845,42.291652172
MSCI.K,39.737587641,47.07008074,53.2700308036907,74.330414823,54.965895828
MSCI.K,40.238621589,48.411189217,59.7371714646028,73.26599359,56.604712796
MSCI.K,37.888459715,45.375701714,52.4061222091847,69.393206474,52.201522739
MSCI.K,31.313578589,37.840360437,42.8600749000983,59.499009485,43.60738994
MSCI.K,36.126326219,41.768748202,47.6185377837476,67.494686945,52.566212497
MSCI.K,30.902726101,35.085542081,45.8746346715904,58.264350115,44.661933604
MSCI.K,30.910951671,34.023214058,49.1731150039769,53.578364497,45.107260789
MSCI.K,27.334604554,31.290753506,43.9182511422053,43.855841526,39.387190943
MSCI.K,24.900557471,29.28763146,32.9970179775611,37.607390381,35.696064971
MSCI.K,22.251169004,25.980170567,34.7186068025235,32.896774379,31.408701888
MSCI.K,24.747873641,28.844808565,36.7064327019602,37.177678758,35.506581435
MSCI.K,21.458088126,23.958328401,31.992925610797,35.709667687,31.631369446
MSCI.K,16.675448428,18.711336294,26.0077766315886,29.91400965,24.685218673
MSCI.K,20.037231325,23.250972142,33.8752729371478,39.423393154,30.198223138
