,Instrument_encoded,TRBC_Industry_encoded,Year,Quarter,Month_x,Month_y,Forward EV/EBITDA,Revenue,Gross Profit,EBIT,EBITDA,Total Assets,Total Liabilities,Enterprise Value,Free Cash Flow,PE Ratio,Dividend Yield,Net Profit Margin pct,Current Ratio,Quick Ratio,Total Debt,WACC pct,Outstanding Tot Shares,EV/EBITDA,P/E,Forward P/E,sentiment_numerical,sentiment_score,esg_numerical,esg_classification_score,fls_numerical,fls_classification_score,GDP,Stock traded pct GDP,Inflation pct,Unemployment Rate pct,Government Debt pct GDP,Balance of Trade,Exchange Rate USD,Government Consumption pct GDP
1145,12,1,2018,4,12,,,4905521040.0,3572141160.0,2297552280.0,2459031560.0,7400611080.0,6864437160.0,52144304191.38,1341218680.0,31.099054131,0.930802204531537,31.28795,1.36388,1.36388,2870568560.0,8.19757573229542,249000000.0,,,,1,0.6258612275123596,4,0.9505239725112916,1,0.8496600389480591,62823.309438197,160.849137895788,2.44258329692818,3.9,99.0609761173397,-578600000000.0,1.0,13.9625188613509
1146,12,1,2018,4,12,,,4905521040.0,3572141160.0,2297552280.0,2459031560.0,7400611080.0,6864437160.0,52144304191.38,1341218680.0,31.099054131,0.930802204531537,31.28795,1.36388,1.36388,2870568560.0,8.19757573229542,249000000.0,,,,1,1.0,4,0.9900749325752258,2,0.8717318773269653,62823.309438197,160.849137895788,2.44258329692818,3.9,99.0609761173397,-578600000000.0,1.0,13.9625188613509
1147,12,1,2018,4,12,,,4905521040.0,3572141160.0,2297552280.0,2459031560.0,7400611080.0,6864437160.0,52144304191.38,1341218680.0,31.099054131,0.930802204531537,31.28795,1.36388,1.36388,2870568560.0,8.19757573229542,249000000.0,,,,1,1.0,4,0.9900749325752258,2,0.8717318773269653,62823.309438197,160.849137895788,2.44258329692818,3.9,99.0609761173397,-578600000000.0,1.0,13.9625188613509
1148,12,1,2018,4,12,,,4905521040.0,3572141160.0,2297552280.0,2459031560.0,7400611080.0,6864437160.0,52144304191.38,1341218680.0,31.099054131,0.930802204531537,31.28795,1.36388,1.36388,2870568560.0,8.19757573229542,249000000.0,,,,1,0.6258612275123596,4,0.9505239725112916,1,0.8496600389480591,62823.309438197,160.849137895788,2.44258329692818,3.9,99.0609761173397,-578600000000.0,1.0,13.9625188613509
1149,12,1,2018,4,12,,,4905521040.0,3572141160.0,2297552280.0,2459031560.0,7400611080.0,6864437160.0,52144304191.38,1341218680.0,31.099054131,0.930802204531537,31.28795,1.36388,1.36388,2870568560.0,8.19757573229542,249000000.0,,,,1,0.9999990463256836,2,0.5192111134529114,2,0.9078869223594666,62823.309438197,160.849137895788,2.44258329692818,3.9,99.0609761173397,-578600000000.0,1.0,13.9625188613509
1150,12,1,2018,4,12,,,4905521040.0,3572141160.0,2297552280.0,2459031560.0,7400611080.0,6864437160.0,52144304191.38,1341218680.0,31.099054131,0.930802204531537,31.28795,1.36388,1.36388,2870568560.0,8.19757573229542,249000000.0,,,,1,1.0,4,0.9852892756462096,2,0.8613247275352478,62823.309438197,160.849137895788,2.44258329692818,3.9,99.0609761173397,-578600000000.0,1.0,13.9625188613509
1151,12,1,2018,4,12,,,4905521040.0,3572141160.0,2297552280.0,2459031560.0,7400611080.0,6864437160.0,47309711640.32,1341218680.0,30.559185196,1.03326384482915,31.28795,1.36388,1.36388,2870568560.0,8.37134018227206,249000000.0,,,,1,1.0,4,0.9900749325752258,2,0.8717318773269653,62823.309438197,160.849137895788,2.44258329692818,3.9,99.0609761173397,-578600000000.0,1.0,13.9625188613509
1152,12,1,2018,4,12,,,4905521040.0,3572141160.0,2297552280.0,2459031560.0,7400611080.0,6864437160.0,47309711640.32,1341218680.0,30.559185196,1.03326384482915,31.28795,1.36388,1.36388,2870568560.0,8.37134018227206,249000000.0,,,,1,1.0,4,0.9900749325752258,2,0.8717318773269653,62823.309438197,160.849137895788,2.44258329692818,3.9,99.0609761173397,-578600000000.0,1.0,13.9625188613509
1153,12,1,2018,4,12,,,4905521040.0,3572141160.0,2297552280.0,2459031560.0,7400611080.0,6864437160.0,47309711640.32,1341218680.0,30.559185196,1.03326384482915,31.28795,1.36388,1.36388,2870568560.0,8.37134018227206,249000000.0,,,,1,0.6258612275123596,4,0.9505239725112916,1,0.8496600389480591,62823.309438197,160.849137895788,2.44258329692818,3.9,99.0609761173397,-578600000000.0,1.0,13.9625188613509
1154,12,1,2018,4,12,,,4905521040.0,3572141160.0,2297552280.0,2459031560.0,7400611080.0,6864437160.0,47309711640.32,1341218680.0,30.559185196,1.03326384482915,31.28795,1.36388,1.36388,2870568560.0,8.37134018227206,249000000.0,,,,1,1.0,4,0.9900749325752258,2,0.8717318773269653,62823.309438197,160.849137895788,2.44258329692818,3.9,99.0609761173397,-578600000000.0,1.0,13.9625188613509
